Partner,Export_Value,Share_%
US,74067.264,9.79
CN,72638.029,9.6
FR,61200.517,8.09
NL,57190.998999999996,7.56
CH,54764.423,7.24
PL,47899.143000000004,6.33
IT,44923.308,5.93
AT,44333.385,5.86
GB,42162.149,5.57
CZ,32901.4,4.35
ES,31410.649,4.15
IE,30433.338,4.02
BE,26726.141,3.53
HU,21718.934,2.87
JP,21242.155,2.81
SE,14559.578,1.92
RO,12296.773,1.62
DK,12042.051,1.59
SK,11906.476,1.57
LU,11483.793,1.52
FI,7816.165,1.03
PT,5633.621,0.74
SI,4128.423,0.55
BG,3616.278,0.48
GR,2625.912,0.35
MT,2111.388,0.28
LT,1962.336,0.26
EE,1005.692,0.13
HR,1004.986,0.13
LV,707.313,0.09
CY,409.935,0.05
