Product,Export_Value,Share_%
CPA_C29,72698.995,9.6
CPA_G46,49971.341,6.6
CPA_C28,48993.475,6.47
CPA_C26,48299.706,6.38
CPA_C20,44947.472,5.94
CPA_C10-12,36004.788,4.76
CPA_C27,30949.615999999998,4.09
CPA_K64,27787.32,3.67
CPA_C24,26092.137,3.45
CPA_C21,25186.058,3.33
CPA_J62_63,22937.997,3.03
CPA_C13-15,21084.895,2.79
CPA_C25,20482.375,2.71
CPA_C31_32,19454.642,2.57
CPA_C22,18764.275,2.48
CPA_H49,17867.384,2.36
CPA_B,14758.255,1.95
CPA_M69_70,14480.847,1.91
CPA_C30,13377.131000000001,1.77
CPA_N77,13101.533,1.73
CPA_A01,12858.368,1.7
CPA_C19,11594.133,1.53
CPA_G47,11493.092,1.52
CPA_N80-82,10080.744,1.33
CPA_C17,9975.713,1.32
CPA_H52,9241.423,1.22
CPA_J58,7955.535,1.05
CPA_H50,7527.705,0.99
CPA_C23,7081.243,0.94
CPA_I,6892.188,0.91
CPA_N79,6869.168,0.91
CPA_H51,6815.9619999999995,0.9
CPA_M72,5460.749,0.72
CPA_M71,5000.478,0.66
CPA_G45,4946.6,0.65
CPA_C16,4716.1359999999995,0.62
CPA_E37-39,4535.548,0.6
CPA_F,3932.333,0.52
CPA_J61,3804.723,0.5
CPA_M73,3406.367,0.45
CPA_K65,3305.564,0.44
CPA_H53,3300.994,0.44
CPA_J59_60,3209.998,0.42
CPA_C33,2837.613,0.37
CPA_D35,2748.677,0.36
CPA_M74_75,2179.71,0.29
CPA_K66,2114.439,0.28
CPA_R90-92,1609.239,0.21
CPA_N78,1181.023,0.16
CPA_Q86,688.656,0.09
