m,value
WRL_REST,123408.207
US,95524.768
CN,94233.356
FR,92425.014
GB,56957.727
CH,55380.502
IT,53875.192
NL,51076.389
AT,48938.8
PL,46215.541
ES,33551.228
BE,31643.167
CZ,26525.846999999998
HU,20702.371
SE,20296.614
JP,19946.989
TR,17254.007
DK,16949.523
IE,16712.596
RU,16491.299
KR,15504.086
MX,14470.047
RO,13623.182
SK,11479.179
CA,11438.493
LU,10407.604
IN,9663.911
FI,8809.805
NO,8325.011
BR,7830.754
PT,7756.171
AU,7618.642
SA,6070.357
GR,4865.968
SI,3666.408
ZA,3648.934
BG,3107.003
ID,2476.029
EE,2395.713
HR,2248.692
LT,2202.778
RS,2120.082
AR,1409.974
LV,1095.022
MT,848.801
MK,698.641
CY,633.232
AL,211.072
ME,165.22299999999998
