year,country,wages_D11,surplus_B2,hh_consumption,gov_consumption,investment,imports
2010,DE,1083300.0,804004.3506348088,1432690.6670000001,512021.996,501767.9929999999,876143.275
2011,DE,1135084.0,839064.2577043874,1479107.6290000002,523420.9820000001,549605.0100000001,969710.93
2012,DE,1183433.0,839116.5530696897,1521415.7259999996,538869.9880000001,558912.9940000001,1014189.8439999999
2013,DE,1221951.0,850018.347201168,1547762.703,561974.985,561175.0260000001,1008991.9920000001
2014,DE,1272784.0,891872.9194468395,1582195.6840000001,583523.0009999999,590404.9779999999,1049041.861
2015,DE,1326379.0,926154.7098564485,1627298.714,605941.989,609618.991,1106019.513
2016,DE,1381750.0,959323.9834718222,1675069.6820000005,633890.993,640442.9940000001,1108026.136
2017,DE,1444943.0,997080.290754342,1729474.729,657990.003,671085.9820000001,1173573.666
2018,DE,1516892.0,1000522.4803330194,1782949.684,680524.9839999999,714880.0049999999,1203624.042
2019,DE,1583357.0,996611.5169515501,1840601.707,717505.999,748216.001,1221909.507
2020,DE,1571635.0,987860.9051671948,1710173.8240000003,769044.978,736475.983,1102899.951
2021,DE,1630658.9999999998,1118258.39158325,1801856.8560000001,820184.9999999999,779205.009,1281961.8989999997
2022,DE,1729702.9999999995,1187078.0526815234,2045223.7949999997,869814.992,858253.004,1457218.467
2023,DE,1857639.0000000007,1302086.440703002,2177319.737,905150.981,899879.987,1476874.894
