Set_j,value
O84,120784.0
Q86,110906.0
P85,97793.0
G46,78759.0
F,76517.0
G47,69298.0
Q87_Q88,68524.0
M69_M70,65229.0
C28,62231.0
J62_J63,55975.0
C29,54569.0
N80-N82,44913.0
K64,39042.0
C25,35801.0
C10-C12,32364.0
M71,31342.0
H49,29257.0
H52,29026.0
G45,25182.0
C27,24981.0
S94,24895.0
I,24706.0
N78,22482.0
C20,21613.0
C26,20730.0
D35,17549.0
C22,17492.0
C31_C32,16611.0
L,15757.0
K66,14392.0
S2,14215.0
H53,13395.0
M72,12914.0
C33,12474.0
C24,12192.0
E37-E39,10556.0
K65,10499.0
C23,10019.0
C30,9173.0
S96,9166.0
C21,8974.0
T,7641.0
R93,7565.0
R90-R92,7316.0
M73,7004.0
J58,6983.0
J59_J60,6668.0
J61,6607.0
A01,6188.0
C17,6091.0
M74_M75,5838.0
C16,4818.0
N77,4561.0
C13-C15,4435.0
H51,3824.0
C18,3596.0
N79,2151.0
B,2107.0
E36,1564.0
C19,1423.0
A02,983.0
S95,954.0
H50,949.0
A03,72.0
