year,country,wages_D11,surplus_B2,hh_consumption,gov_consumption,investment,imports,wages_D11_yoy,surplus_B2_yoy,hh_consumption_yoy,gov_consumption_yoy,investment_yoy,imports_yoy
2010,DE,1083300.0,804004.3506348088,1432690.6670000001,512021.996,501767.9929999999,876143.275,,,,,,
2011,DE,1135084.0,839064.2577043874,1479107.6290000002,523420.9820000001,549605.0100000001,969710.93,4.78020862180375,4.360661362329288,3.23984535316304,2.2262688105297856,9.533692397155402,10.679492460864925
2012,DE,1183433.0,839116.5530696897,1521415.7259999996,538869.9880000001,558912.9940000001,1014189.8439999999,4.259508547385038,0.006232581691101302,2.860379878413788,2.951545033783165,1.6935769926842426,4.586821971780797
2013,DE,1221951.0,850018.347201168,1547762.703,561974.985,561175.0260000001,1008991.9920000001,3.2547681195302047,1.2991990316001845,1.731740808889226,4.287675601633212,0.4047198802466845,-0.5125127243928329
2014,DE,1272784.0,891872.9194468395,1582195.6840000001,583523.0009999999,590404.9779999999,1049041.861,4.159986775247115,4.923961039604019,2.2246938069549804,3.834337216984829,5.208705064505104,3.9692950308370722
2015,DE,1326379.0,926154.7098564485,1627298.714,605941.989,609618.991,1106019.513,4.210848030773495,3.8437976601948254,2.850660664550242,3.8420058783595445,3.254378556408466,5.431399271873283
2016,DE,1381750.0,959323.9834718222,1675069.6820000005,633890.993,640442.9940000001,1108026.136,4.174598662976425,3.5813966351814885,2.9355991981691254,4.612488407698057,5.056273419146162,0.18142745009597228
2017,DE,1444943.0,997080.290754342,1729474.729,657990.003,671085.9820000001,1173573.666,4.573403292925637,3.9357201459593094,3.2479273898051275,3.8017593349839673,4.784655041444652,5.915702515522625
2018,DE,1516892.0,1000522.4803330194,1782949.684,680524.9839999999,714880.0049999999,1203624.042,4.979365968069338,0.3452269200981961,3.0919766622389266,3.424821182275606,6.525843807597198,2.560587108470447
2019,DE,1583357.0,996611.5169515501,1840601.707,717505.999,748216.001,1221909.507,4.381656703311765,-0.39089210470988345,3.2335193481545232,5.434189172987081,4.66315965852202,1.519200710681723
2020,DE,1571635.0,987860.9051671948,1710173.8240000003,769044.978,736475.983,1102899.951,-0.7403257761831372,-0.8780363898584942,-7.086154625629703,7.183072904175125,-1.5690680210406316,-9.739637454183425
2021,DE,1630658.9999999998,1118258.39158325,1801856.8560000001,820184.9999999999,779205.009,1281961.8989999997,3.755579380708607,13.199984505306993,5.361035861580343,6.649808979052962,5.801822053442307,16.235556800745556
2022,DE,1729702.9999999995,1187078.0526815234,2045223.7949999997,869814.992,858253.004,1457218.467,6.0738633889733995,6.1541823979373245,13.506452423765648,6.051072867706697,10.144698004630005,13.670965427031012
2023,DE,1857639.0000000007,1302086.440703002,2177319.737,905150.981,899879.987,1476874.894,7.3964142977147596,9.688359393190948,6.458752451586869,4.06247182734234,4.85019951063288,1.3489004871360954
