Country,Aggregate,Value_2010,Value_2018,Value_2020,CAGR_2010_2018,Trend_2020,Deviation_from_Trend_%,YoY_2019_2020_%
DE,HH Consumption,1606060.829,2013191.0910000002,1923974.152,2.8644660833732516,2130177.2996879956,-9.680093188402575,-7.569120686107446
DE,Gov Consumption,522482.3160000001,700635.842,789789.4410000001,3.7355453274479755,753958.6691119845,4.752352264908258,6.960633330367329
DE,Investment,648517.6789999998,926582.1100000001,929572.446,4.561128395016545,1013034.9608811154,-8.238858292562929,-3.9500337977053905
DE,Exports,0.0,0.0,0.0,,,,
FR,HH Consumption,1205677.748,1415095.59,1327770.296,2.0221135731457007,1472903.8945602938,-9.853568796735406,-8.648761305907811
FR,Gov Consumption,489624.33599999995,573787.9720000001,599534.761,2.0025562426230437,596998.9279656553,0.42476341506774024,2.5222241956724853
FR,Investment,495290.24600000016,628574.632,614598.0179999999,3.023697914175827,667161.7180872483,-7.878704467328912,-9.270431473073378
FR,Exports,0.0,0.0,0.0,,,,
IT,HH Consumption,1085634.418,1217893.2259999998,1080444.724,1.4473487229698545,1253402.6766121737,-13.799073182104763,-12.485267835988427
IT,Gov Consumption,339985.577,342442.02199999994,352565.5049999999,0.09003010802741684,343058.9014083291,2.771128675759234,2.652639516249675
IT,Investment,383203.91299999994,400830.29600000003,377800.5530000001,0.563718927936141,405362.1460411632,-6.79925180738616,-7.867999168852522
IT,Exports,0.0,0.0,0.0,,,,
ES,HH Consumption,711256.517,838761.8640000001,715952.075,2.082559892728608,874061.0760432248,-18.08901063973313,-16.60466557867765
ES,Gov Consumption,223741.14300000004,227771.90299999993,250262.48300000004,0.2234358810421444,228790.88843564576,9.384811917627482,4.918330174390595
ES,Investment,257618.40800000002,275591.726,269735.634,0.8465766836329935,280277.6680294443,-3.7612821968879766,-8.506633542641943
ES,Exports,0.0,0.0,0.0,,,,
NL,HH Consumption,349729.638,455172.512,441103.4689999999,3.3488024401685523,486168.6205800033,-9.269448843950535,-6.62952882383683
NL,Gov Consumption,171056.34999999998,195521.82900000006,215705.43399999998,1.6850265346410431,202166.53319422927,6.696905067251343,4.001120773087715
NL,Investment,147496.93,203552.42700000003,220340.9840000001,4.108613579559606,220622.40317282928,-0.1275569338299279,-1.141937429460878
NL,Exports,0.0,0.0,0.0,,,,
PL,HH Consumption,256103.968,350043.30700000003,353379.6359999999,3.983201311976714,378484.54114845354,-6.633006746398852,-4.1125959476733565
PL,Gov Consumption,70164.381,89979.56099999999,102538.609,3.1581147068064253,95752.61930941191,7.087001629334089,4.577729359465774
PL,Investment,85227.36,121645.371,129662.67599999989,4.547720685595191,132961.13847866064,-2.480771837848039,-2.835178892285848
PL,Exports,0.0,0.0,0.0,,,,
AT,HH Consumption,184233.83299999998,236208.53100000002,220443.532,3.1551164992678515,251348.97959505205,-12.2958317335697,-9.561373370675406
AT,Gov Consumption,62007.735000000015,76959.76400000001,83091.604,2.7370834080452155,81230.32523631082,2.2913594870812815,3.8442112450174815
AT,Investment,78926.056,120061.758,122526.256,5.3836016325584435,133337.02852022968,-8.107854689884208,-4.737308892677367
AT,Exports,0.0,0.0,0.0,,,,
GR,HH Consumption,164806.22900000002,151816.556,132073.58800000002,-1.0209709742313167,148732.37513875673,-11.200511740107189,-16.269693069973336
GR,Gov Consumption,50594.805,36288.937999999995,38965.474,-4.069095006932233,33395.760804659076,16.677904803306323,3.314988042360293
GR,Investment,39216.132000000005,22764.636000000006,22887.861,-6.57255023147788,19870.541350616826,15.184889008016434,-0.40119138096057433
GR,Exports,0.0,0.0,0.0,,,,
