country,region,hh_2019,hh_2020,hh_2022,covid_drop_pct,recovery_2020_2022_pct,net_change_2019_2022_pct
ES,Sued,764822.4029999999,634716.834,817165.483,-17.011213124728503,28.74488893735564,6.843821493027065
IT,Sued,1112245.929,975339.52,1201167.219,-12.30900517865595,23.15375255172681,7.994750772425623
GR,Sued,143897.519,120799.082,160039.7799999999,-16.052005038391247,32.48426838210568,11.217886946334295
PT,Sued,150659.716,132113.674,171545.05999999994,-12.309887800399139,29.846559259263305,13.862593501769215
DE,Nord,1840601.707,1710173.8240000005,2045223.795,-7.0861546256296855,19.591574043411352,11.117130187470808
AT,Nord,213410.75,191774.488,234794.5309999999,-10.138318711686262,22.432620443236374,10.020011175631922
NL,Nord,377189.77700000006,353192.81099999987,445723.886,-6.36204040068673,26.198459345198895,18.16966237661312
FR,Andere,1319259.986,1218509.3250000002,1429062.0779999995,-7.636907210797482,17.279535632605793,8.323006319089517
PL,Andere,315658.475,300955.55699999986,384945.3429999999,-4.657856247959166,27.907703993649818,21.949947011560486
