ctr,total,mean,std,count
US,2312052336.94,33913.99,269544.07,68174
CN,1420610403.86,20710.42,165385.66,68594
WRL_REST,991724601.94,9630.64,125316.71,102976
JP,584965180.92,7780.45,60039.38,75184
DE,513807071.51,7600.7,52090.18,67600
FR,387346783.79,6160.78,40327.36,62873
GB,370689937.61,5876.13,41251.58,63084
IT,264093833.8,3259.29,24343.43,81028
BR,234086093.56,3516.65,26358.58,66565
IN,232486244.21,3736.34,34722.45,62223
KR,210404710.93,2667.2,19664.47,78886
CA,208760612.65,3201.9,23867.71,65199
ES,176981582.74,2363.16,17177.74,74892
RU,169271427.15,1904.84,18241.18,88864
NL,164375991.73,2475.84,18179.24,66392
AU,149413741.32,2328.01,18598.29,64181
MX,144519749.88,1803.21,16299.72,80146
CH,121944055.04,1516.94,12003.16,80388
TR,109871008.31,1441.82,11421.65,76203
ID,90115718.28,1518.15,14566.42,59359
BE,86418155.6,1300.73,9218.7,66438
SE,81761113.07,1104.98,7697.19,73993
IE,81105000.71,1252.2,10561.18,64770
PL,73233461.24,764.11,6668.67,95841
LU,72605064.58,1125.57,15369.15,64505
SA,60950169.03,1035.95,13737.54,58835
NO,59048716.48,873.84,6336.57,67574
AT,58824100.51,735.39,5605.35,79990
DK,51900674.48,730.67,5335.04,71032
AR,43371364.25,654.32,6797.31,66285
ZA,42909800.24,775.44,5440.2,55336
FI,37035948.4,565.72,3794.74,65467
CZ,35809854.03,426.28,3341.38,84005
PT,31642919.57,425.43,3119.75,74379
GR,29403085.73,473.57,3574.91,62088
RO,28105693.76,498.18,3665.74,56417
HU,24973300.9,315.66,2613.14,79114
SK,15403654.07,176.0,1594.83,87519
BG,8869948.48,101.68,904.91,87236
CY,8477387.15,158.14,1748.26,53606
HR,7809509.77,112.91,850.92,69165
LT,6973551.95,110.24,907.99,63258
SI,6942257.39,92.02,763.35,75445
RS,6595325.41,91.49,778.88,72091
MT,5246064.15,80.33,1038.31,65309
LV,4340913.43,65.39,500.49,66385
EE,4217330.26,59.42,460.16,70974
AL,1395019.41,30.66,292.24,45493
MK,1285698.26,26.52,231.81,48472
ME,518098.69,11.05,104.93,46875
