ctr,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AL,28242,31226,31299,30567,27796,32196,33454,35564,37133,36258,34767,38291,40791,43914
AR,71495,72390,71191,71345,69660,69177,70072,70930,61650,61707,60632,58790,62734,60819
AT,119832,122106,121552,123768,122641,121828,122278,123271,125813,126568,122681,123785,125683,126581
AU,96205,98110,95307,94697,92669,94145,92449,94787,95363,98083,93849,94300,97180,99879
BE,118845,123808,120239,122875,123138,123988,122032,124782,125269,125916,123286,124095,126539,126102
BG,91651,96280,95932,96764,97482,98803,100249,102443,102830,103930,100995,102900,106178,106838
BR,100062,103057,101126,100071,100536,100426,102958,102156,102861,103409,99427,100558,103783,105029
CA,108290,109093,107844,110641,106793,108173,109817,110497,111596,110946,110261,110547,113194,112063
CH,120195,118587,121612,122799,118215,118686,120509,119563,121182,121009,123113,122429,123966,124448
CN,113803,118593,116747,117063,116892,117257,115811,117488,119497,118110,118943,119680,122132,121330
CY,57777,58159,59054,59160,59966,58273,58602,63071,66424,68724,66852,69907,73519,71968
CZ,109303,113349,112121,113663,114267,114650,113949,115637,116494,116477,114876,115629,117821,120487
DE,129112,128150,135752,136411,139297,135473,137936,138286,136693,139835,138222,136478,138617,139625
DK,110876,112993,112180,114729,111930,111263,113439,114220,112900,113913,112021,114251,116454,116280
EE,77258,81969,83197,85692,86220,87383,88845,91959,93440,96038,94296,99048,102199,103393
ES,120745,124734,122313,124076,124773,123788,124384,125495,125980,126059,130083,131678,133351,134226
FI,97272,101914,99882,94048,93788,100933,100195,103806,100431,101273,96630,97490,99211,99679
FR,113957,117096,116739,117233,115471,115387,115908,117402,115778,116180,119036,118775,120775,121273
GB,136585,138873,138034,139684,139926,139877,140586,140559,141260,140961,140078,139437,140652,141147
GR,96364,98425,97645,98233,98746,99014,100499,101244,103251,103862,99993,103399,105760,105962
HR,78801,80013,79588,79279,78410,80675,82629,84948,84682,84596,79349,88303,90861,92208
HU,104776,106994,102818,103805,104874,105619,106676,108320,109360,107532,105595,106910,109473,110040
ID,92413,93974,93178,94315,92832,93292,93226,94792,97617,97978,95084,95177,101828,101662
IE,92519,86917,91979,95146,94073,94064,95313,98196,103356,106683,107669,105853,109662,110561
IN,108142,112270,111151,110991,110444,109682,110772,112757,113072,112925,112401,115166,116941,117778
IT,129292,133600,128817,132623,131671,130666,130874,133274,133976,134431,132087,134001,134350,134975
JP,103765,105009,102695,103117,104679,105365,106308,107068,107923,108987,106318,107452,107788,112179
KR,108581,113649,112863,113170,110833,110688,111359,110506,110018,110937,110164,112565,117619,114943
LT,69058,72203,73119,74361,76067,77847,79168,81602,83139,84526,83950,86328,89689,91318
LU,84922,86946,87976,88590,88719,91045,90751,91624,91904,92318,90206,92170,95326,96539
LV,66938,67864,67800,69380,70246,77215,78025,78527,80998,81403,81670,83667,86943,87862
ME,23033,26311,26257,26001,26693,26738,28210,30024,30946,32654,28914,33687,38793,38363
MK,39687,42589,44671,45228,47612,47402,49860,50128,54253,56025,54737,57159,62107,61367
MT,57662,57655,57829,61915,62190,66421,70733,71391,72984,74079,73528,73366,78732,79774
MX,80467,82854,83858,83187,84949,87112,87482,87399,90134,90543,88874,88160,90244,90348
NL,121104,125534,121882,125259,123909,121829,122043,123068,123699,124401,123550,127073,128659,127526
NO,98224,98904,99114,99640,98603,99313,100185,100260,101486,101417,103463,105795,109250,107673
PL,114133,116771,115339,117592,116868,122248,122160,123528,124592,125530,124814,125106,126942,128244
PT,95888,99143,98599,101983,101416,101009,101608,104280,106093,107260,104673,107492,110045,110012
RO,83883,86847,87181,94376,92066,94111,94846,95914,97522,97937,89777,90393,90133,93611
RS,70865,74198,75110,78198,80197,73557,75282,78849,81532,83798,79898,83204,86795,88842
RU,113074,114937,116186,117168,115671,113346,110056,112666,113196,113498,109968,113563,115139,104629
SA,64581,73049,72980,68314,67952,68287,66393,67659,72086,74028,67389,73358,80355,77882
SE,105957,109036,107523,108586,109473,113338,115141,115618,115192,115456,115595,115065,117394,117900
SI,82627,84365,84997,86251,86637,87508,88514,90062,90931,90736,88803,90507,91866,92823
SK,85529,85684,88141,89278,88994,89936,90110,92747,91882,93691,91333,93888,95212,97261
TR,88699,91442,93468,103083,104390,104962,103730,105525,106284,107010,106061,106875,108800,109046
US,124947,126027,125912,125502,124062,126354,125343,125965,128503,128562,126973,125826,127835,129305
WRL_REST,141186,141424,142244,143430,143009,142159,141505,143299,144555,144134,144328,146284,145970,146162
ZA,82697,83902,81882,81846,80669,81108,81376,82723,83496,83711,78193,79609,83048,81164
