Set_j,count,total_value
B8_S11,32245,-2089439.5225908617
B8_S2,138,-1123271.4267629702
D29X39,137,-819001.2560000018
S2,136,-4788460.094674591
B8_S13,134,-165267.1279155813
B8_S14,131,-464198.67429082765
T,116,-88.72282364564605
A01,112,-441280.9845680014
B8_S15,90,-156518.98159564353
H53,84,-31017.102847746497
H51,83,-13501.458190243211
B8_S12,79,-268746.4160551622
N79,79,-13095.651920078817
M72,78,-47799.42344454211
D35,77,-450228.72374095477
N78,76,-11589.715210033351
A02,74,-4224.229289343863
H50,73,-10232.620069909455
S94,70,-26515.5326869179
A03,68,-966.8558293789199
